date,team1productivity,team2productivity,team3productivity,team4productivity,team5productivity,team6productivity,team7productivity,team8productivity,team9productivity,team10productivity,team11productivity,team12productivity
01/01/2015,0.8865,0.755166667,NaN,0.593055556,NaN,NaN,0.540729167,0.676666667,NaN,0.705916667,NaN,NaN
01/03/2015,0.902916667,0.782447917,0.945277778,0.988024691,NaN,NaN,0.6253125,0.628333333,0.956270833,0.7018125,0.987880435,NaN
01/04/2015,0.915229167,0.792104167,0.991388889,0.861679012,NaN,NaN,0.667604167,0.682708333,0.931645833,0.759228395,0.345833333,NaN
01/05/2015,0.961059028,0.804416667,0.875390625,0.893663194,0.759270833,NaN,0.676666667,0.664583333,0.820833333,0.763375,0.939513889,NaN
01/06/2015,0.936496212,0.805909091,0.899166667,0.966781346,NaN,NaN,0.61625,0.681060606,0.858143939,0.809640152,0.888686869,NaN
01/07/2015,0.951420455,0.813371212,0.83,0.827186544,0.330113636,0.666515152,0.804640152,0.681060606,0.880530303,0.805909091,NaN,NaN
01/08/2015,0.947689394,0.835757576,0.712626263,0.919905405,0.821354167,NaN,0.681060606,0.735984848,0.891723485,0.779791667,0.515606061,NaN
01/10/2015,0.985,0.817102273,0.930340376,0.911589744,0.337973485,NaN,0.670075758,0.628882576,0.858143939,0.846950758,0.817424242,NaN
01/11/2015,0.873068182,0.820833333,0.93532197,0.925643939,0.609138258,0.597348485,0.590435606,0.653598485,0.858143939,0.828295455,0.668087121,NaN
01/12/2015,0.955151515,0.880530303,0.905454545,0.942213805,0.809564394,0.817424242,0.648106061,0.725,0.858143939,0.24625,0.640577652,NaN
01/13/2015,0.951420455,0.805909091,0.901262626,0.952020202,0.821354167,NaN,0.670075758,0.681060606,0.858143939,0.912766667,0.601278409,NaN
01/14/2015,0.891723485,0.247316017,0.820833333,0.908080808,0.864583333,NaN,0.837594697,0.667329545,0.858143939,0.332359307,0.934607438,NaN
01/15/2015,0.884261364,NaN,NaN,0.988636364,0.860653409,NaN,0.689299242,0.606912879,0.858143939,0.953110048,NaN,NaN
01/17/2015,0.884261364,0.980909091,NaN,NaN,0.98719697,0.465757576,0.661837121,0.675568182,0.82680303,0.974621212,0.313852814,NaN
01/18/2015,NaN,NaN,NaN,NaN,0.852793561,0.804848485,0.692045455,0.639867424,0.582045455,0.235795455,0.838383838,NaN
01/19/2015,NaN,NaN,NaN,0.977272727,0.958901515,NaN,NaN,0.683806818,0.964106061,0.538399621,0.409545455,0.793844697
01/20/2015,NaN,NaN,NaN,NaN,1.033570076,NaN,NaN,0.639867424,0.72830303,NaN,0.362666667,NaN
01/21/2015,0.505128205,0.912202112,NaN,0.978525641,0.758173077,NaN,NaN,0.594871795,0.827147436,NaN,0.470769231,NaN
01/22/2015,0.649662222,0.649662222,0.460578704,0.670216049,0.742901235,0.626822917,0.957638889,0.397743056,NaN,0.940701058,NaN,0.327407407
01/24/2015,0.578314394,0.578314394,0.895454545,0.651515152,0.966666667,NaN,0.870580808,0.910521886,0.261174242,0.937242424,0.896022727,0.858585859
01/25/2015,0.970075758,0.970075758,0.961784512,0.952020202,0.973796791,NaN,0.749188312,0.329545455,NaN,0.955151515,NaN,0.618181818
01/26/2015,0.910378788,0.910378788,1.059621212,0.963699495,0.959191919,NaN,0.646306818,NaN,NaN,0.997792208,NaN,0.769292929
01/27/2015,0.77815,0.788,0.861875,0.940625,0.926388889,0.6225,0.803541667,0.845458333,NaN,0.979527778,NaN,0.823555556
01/28/2015,0.9456,0.902222222,NaN,0.722638889,NaN,0.977555556,0.406354167,0.553333333,NaN,0.840533333,0.259375,0.755555556
01/29/2015,0.853666667,0.773333333,0.4925,0.989,NaN,0.899,NaN,0.877552083,NaN,0.85695,0.864583333,0.634666667
01/31/2015,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667,0.971866667
02/01/2015,0.950438596,0.912766667,NaN,0.845069444,NaN,0.314166667,0.892194444,1.0115625,NaN,0.8865,NaN,0.702666667
02/02/2015,0.504596491,NaN,NaN,0.809236111,NaN,0.280333333,NaN,0.561979167,0.994270833,0.85695,NaN,0.740444444
02/03/2015,0.99485,1.001416667,NaN,0.5375,NaN,0.495416667,NaN,0.976979167,0.919954545,NaN,NaN,0.778222222
02/04/2015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.687555556
