"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"1","1/1/2015","Quarter1","1","Thursday",8,0.8,26.16,1108,7080,98,0,0,0,59,0.940725424
"27","1/3/2015","Quarter1","1","Saturday",8,0.8,26.16,1261,7080,50,0,0,0,59,0.800318644
"48","1/4/2015","Quarter1","1","Sunday",8,0.8,25.9,1039,6780,45,0,0,0,56.5,0.850345133
"70","1/5/2015","Quarter1","1","Monday",8,0.8,25.9,1047,6780,38,0,0,0,56.5,0.800684366
"98","1/6/2015","Quarter1","1","Tuesday",8,0.8,25.9,1083,10170,38,0,0,0,56.5,0.800128721
"109","1/7/2015","Quarter1","1","Wednesday",8,0.8,25.9,1135,10170,60,0,0,0,56.5,0.850136766
"134","1/8/2015","Quarter2","1","Thursday",8,0.8,25.9,1026,10170,60,0,0,0,56.5,0.850136766
"155","1/10/2015","Quarter2","1","Saturday",8,0.8,25.9,1158,10170,60,0,0,0,56.5,0.850136766
"178","1/11/2015","Quarter2","1","Sunday",8,0.8,25.9,1209,10170,60,0,0,0,56.5,0.850136766
"202","1/12/2015","Quarter2","1","Monday",8,0.8,25.9,1233,10170,60,0,0,0,56.5,0.850136766
"224","1/13/2015","Quarter2","1","Tuesday",8,0.8,25.9,1211,10260,60,0,0,0,57,0.850252525
"246","1/14/2015","Quarter2","1","Wednesday",8,0.8,25.9,1218,10170,60,0,0,0,56.5,0.850136766
"266","1/15/2015","Quarter3","1","Thursday",8,0.8,25.9,1177,8970,60,0,0,0,56.5,0.850415628
"287","1/17/2015","Quarter3","1","Saturday",8,0.8,25.9,1292,10170,50,0,0,0,56.5,0.800128721
"305","1/18/2015","Quarter3","1","Sunday",8,0.8,25.9,1288,10170,38,0,0,0,56.5,0.800128721
"323","1/19/2015","Quarter3","1","Monday",8,0.8,25.9,1380,3630,50,0,0,0,56.5,0.800162602
"340","1/20/2015","Quarter3","1","Tuesday",8,0.8,25.9,1434,10170,50,0,0,0,56.5,0.800128721
"358","1/21/2015","Quarter3","1","Wednesday",8,0.8,25.9,562,7470,38,0,0,0,56.5,0.800436542
"389","1/22/2015","Quarter4","1","Thursday",8,0.8,40.99,980,10770,30,0,0,0,56.5,0.555500132
"415","1/24/2015","Quarter4","1","Saturday",8,0.35,15.09,1448,9360,23,0,0,0,52,0.34998951
"436","1/25/2015","Quarter4","1","Sunday",8,0.5,15.09,1557,720,23,0,0,0,52,0.500061916
"455","1/26/2015","Quarter4","1","Monday",8,0.6,15.09,1519,360,23,0,0,0,52,0.600143365
"473","1/27/2015","Quarter4","1","Tuesday",8,0.65,15.09,976,240,23,0,0,0,52,0.650307143
"494","1/28/2015","Quarter4","1","Wednesday",8,0.7,38.09,336,6240,0,0,0,0,52,0.467693269
"542","1/31/2015","Quarter5","1","Saturday",8,0.5,23.54,1144,6480,0,0,0,0,54,0.286984568
"559","2/1/2015","Quarter1","1","Sunday",8,0.6,24.26,1196,6600,0,0,0,0,55,0.466821212
"580","2/2/2015","Quarter1","1","Monday",8,0.65,24.26,1435,6600,0,0,0,0,55,0.260978788
"595","2/3/2015","Quarter1","1","Tuesday",8,0.7,24.26,1363,6660,0,0,0,0,55.5,0.586465465
"614","2/4/2015","Quarter1","1","Wednesday",8,0.7,29.12,1248,6840,0,0,0,0,57,0.700135088
"636","2/5/2015","Quarter1","1","Thursday",8,0.7,24.26,1167,6840,0,0,0,0,57,0.496549708
"655","2/7/2015","Quarter1","1","Saturday",8,0.7,24.26,652,6840,0,300,37,0,57,0.365318713
"674","2/8/2015","Quarter2","1","Sunday",8,0.7,24.26,154,6840,0,0,0,0,57,0.353259649
"691","2/9/2015","Quarter2","1","Monday",8,0.35,30.1,901,6960,0,0,0,1,58,0.350301724
"711","2/10/2015","Quarter2","1","Tuesday",8,0.5,30.1,1061,6960,30,0,0,1,58,0.393548851
"724","2/11/2015","Quarter2","1","Wednesday",8,0.6,30.1,1069,4560,30,0,0,1,58,0.714410494
"747","2/12/2015","Quarter2","1","Thursday",8,0.65,30.1,1193,7080,0,0,0,1,59,0.463403955
"760","2/14/2015","Quarter2","1","Saturday",8,0.7,30.1,824,5160,0,0,0,1,60,0.700206125
"776","2/15/2015","Quarter3","1","Sunday",8,0.7,30.1,507,5880,40,2,10,1,59,0.700573099
"799","2/16/2015","Quarter3","1","Monday",8,0.7,30.1,7,7080,27,2,10,2,59,0.621971751
"819","2/17/2015","Quarter3","1","Tuesday",8,0.6,29.4,179,0,23,5,30,2,58,0.600982906
"844","2/18/2015","Quarter3","1","Wednesday",8,0.65,29.4,962,4560,0,4.5,30,2,57,0.251399254
"856","2/19/2015","Quarter3","1","Thursday",8,0.7,29.4,1116,6240,0,0,0,2,57,0.7
"875","2/22/2015","Quarter4","1","Sunday",8,0.7,29.4,1146,6840,40,0,0,2,57,0.700614035
"896","2/23/2015","Quarter4","1","Monday",8,0.7,29.4,1094,6840,40,0,0,2,57,0.700614035
"917","2/24/2015","Quarter4","1","Tuesday",8,0.7,29.4,1079,4560,40,0,0,2,58,0.700518519
"934","2/25/2015","Quarter4","1","Wednesday",8,0.7,29.4,847,6960,30,0,0,1,58,0.700362069
"953","2/26/2015","Quarter4","1","Thursday",8,0.75,29.4,916,6960,56,0,0,2,58,0.750206897
"973","2/28/2015","Quarter4","1","Saturday",8,0.75,29.4,792,4560,56,0,0,2,58,0.750425926
"989","3/1/2015","Quarter1","1","Sunday",8,0.75,29.4,622,6240,56,0,0,0,57,0.75075
"1017","3/2/2015","Quarter1","1","Monday",8,0.75,29.4,551,6840,45,0,0,0,57,0.750473684
"1034","3/3/2015","Quarter1","1","Tuesday",8,0.75,29.4,534,6840,56,0,0,0,57,0.750473684
"1066","3/4/2015","Quarter1","1","Wednesday",8,0.8,29.4,30,6840,0,0,0,0,57,0.433263158
