"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"18","1/1/2015","Quarter1","1","Thursday",4,0.65,23.69,861,7200,0,0,0,0,60,0.52118
"37","1/3/2015","Quarter1","1","Saturday",4,0.7,23.69,544,13800,0,0,0,0,60,0.700134038
"49","1/4/2015","Quarter1","1","Sunday",4,0.8,28.08,878,4260,50,0,0,0,55.5,0.800598058
"76","1/5/2015","Quarter1","1","Monday",4,0.8,28.08,759,6900,50,0,0,0,57.5,0.800076522
"94","1/6/2015","Quarter1","1","Tuesday",4,0.8,28.08,925,10350,50,0,0,0,57.5,0.800594466
"116","1/7/2015","Quarter1","1","Wednesday",4,0.8,28.08,990,10350,50,0,0,0,57.5,0.800594466
"132","1/8/2015","Quarter2","1","Thursday",4,0.8,28.08,942,10530,75,0,0,0,58.5,0.850181818
"159","1/10/2015","Quarter2","1","Saturday",4,0.8,28.08,660,10440,63,0,0,0,58,0.801028213
"192","1/11/2015","Quarter2","1","Sunday",4,0.8,50.48,562,10440,0,0,0,0,58,0.473134796
"215","1/12/2015","Quarter2","1","Monday",4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
"237","1/13/2015","Quarter2","1","Tuesday",4,0.5,22.4,783,10170,23,0,0,0,56.5,0.500380799
"254","1/14/2015","Quarter2","1","Wednesday",4,0.6,22.4,816,5100,23,0,0,0,57,0.600369686
"274","1/15/2015","Quarter3","1","Thursday",4,0.65,22.52,872,10080,26,0,0,0,56,0.650130952
"291","1/17/2015","Quarter3","1","Saturday",4,0.7,22.52,825,10170,50,0,0,0,56.5,0.7005417
"307","1/18/2015","Quarter3","1","Sunday",4,0.7,22.52,882,10170,50,0,0,0,56.5,0.7005417
"327","1/19/2015","Quarter3","1","Monday",4,0.7,22.52,930,10260,63,0,0,0,57,0.750068049
"342","1/20/2015","Quarter3","1","Tuesday",4,0.7,22.52,983,10260,63,0,0,0,57,0.750068049
"355","1/21/2015","Quarter3","1","Wednesday",4,0.75,22.52,825,10080,94,0,0,0,56,0.900556277
"374","1/22/2015","Quarter4","1","Thursday",4,0.75,22.52,759,10080,81,0,0,0,56,0.849983766
"398","1/24/2015","Quarter4","1","Saturday",4,0.75,22.52,727,10260,94,0,0,0,57,0.900321106
"423","1/25/2015","Quarter4","1","Sunday",4,0.75,22.52,867,10260,94,0,0,0,57,0.900321106
"444","1/26/2015","Quarter4","1","Monday",4,0.8,22.52,1016,10170,60,0,0,0,56.5,0.850312684
"464","1/27/2015","Quarter4","1","Tuesday",4,0.8,22.52,1106,6780,60,0,0,0,56.5,0.850312684
"487","1/28/2015","Quarter4","1","Wednesday",4,0.8,22.52,1342,6780,50,0,0,0,56.5,0.800489676
"502","1/29/2015","Quarter5","1","Thursday",4,0.8,22.52,1444,6900,88,0,0,0,57.5,0.9008
"534","1/31/2015","Quarter5","1","Saturday",4,0.8,22.52,1432,6660,88,0,0,0,57.5,0.900537069
"552","2/1/2015","Quarter1","1","Sunday",4,0.8,22.52,1472,7020,60,0,0,0,58.5,0.85011396
"570","2/2/2015","Quarter1","1","Monday",4,0.8,22.52,23122,5940,50,0,0,0,56.5,0.800393224
"589","2/3/2015","Quarter1","1","Tuesday",4,0.8,22.52,340,5460,63,0,0,0,56.5,0.800434622
"618","2/4/2015","Quarter1","1","Wednesday",4,0.35,30.1,287,6060,23,150,15,0,55.5,0.350706422
"635","2/5/2015","Quarter1","1","Thursday",4,0.5,30.1,417,6360,23,0,0,1,53,0.500720126
"652","2/7/2015","Quarter1","1","Saturday",4,0.6,30.1,486,6780,30,0,0,1,57,0.600224189
"672","2/8/2015","Quarter2","1","Sunday",4,0.65,30.1,712,6780,44,0,0,1,56.5,0.568259587
"684","2/9/2015","Quarter2","1","Monday",4,0.7,30.1,767,3300,50,0,0,1,57,0.790003236
"707","2/10/2015","Quarter2","1","Tuesday",4,0.7,30.1,855,7020,40,0,0,1,58,0.700618234
"725","2/11/2015","Quarter2","1","Wednesday",4,0.7,30.1,667,5940,40,0,0,1,59.5,0.700588406
"741","2/12/2015","Quarter2","1","Thursday",4,0.7,30.1,419,7080,0,0,0,1,59,0.637711864
"757","2/14/2015","Quarter2","1","Saturday",4,0.75,30.1,481,7140,0,0,0,1,59,0.750392157
"781","2/15/2015","Quarter3","1","Sunday",4,0.75,30.1,919,7140,0,0,0,1,59.5,0.598627451
"795","2/16/2015","Quarter3","1","Monday",4,0.75,30.1,912,7020,0,0,0,1,58,0.750356125
"811","2/17/2015","Quarter3","1","Tuesday",4,0.75,30.1,849,7020,45,0,0,1,58,0.750356125
"828","2/18/2015","Quarter3","1","Wednesday",4,0.8,30.1,864,480,50,0,0,1,58,0.800980392
