"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"9","1/1/2015","Quarter1","1","Thursday",2,0.75,19.87,733,6000,34,0,0,0,55,0.753097531
"35","1/3/2015","Quarter1","1","Saturday",2,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
"51","1/4/2015","Quarter1","1","Sunday",2,0.8,28.08,782,6660,50,0,0,0,55.5,0.800237838
"75","1/5/2015","Quarter1","1","Monday",2,0.8,28.08,757,6900,50,0,0,0,57.5,0.800076522
"93","1/6/2015","Quarter1","1","Tuesday",2,0.8,28.08,716,10350,50,0,0,0,57.5,0.800594466
"115","1/7/2015","Quarter1","1","Wednesday",2,0.8,28.08,776,10350,63,0,0,0,57.5,0.800594466
"137","1/8/2015","Quarter2","1","Thursday",2,0.8,28.08,783,10050,63,0,0,0,58.5,0.800497246
"160","1/10/2015","Quarter2","1","Saturday",2,0.8,28.08,749,10350,63,0,0,0,57.5,0.800594466
"183","1/11/2015","Quarter2","1","Sunday",2,0.8,28.08,805,10530,63,0,0,0,58.5,0.8
"208","1/12/2015","Quarter2","1","Monday",2,0.8,28.08,737,10530,63,0,0,0,58.5,0.8
"230","1/13/2015","Quarter2","1","Tuesday",2,0.8,28.08,723,10530,50,0,0,0,58.5,0.8
"258","1/14/2015","Quarter2","1","Wednesday",2,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464
"278","1/15/2015","Quarter3","1","Thursday",2,0.5,22.94,1044,9810,23,0,0,0,54.5,0.499998888
"290","1/17/2015","Quarter3","1","Saturday",2,0.6,22.94,865,6570,23,0,0,0,56.5,0.77011398
"313","1/18/2015","Quarter3","1","Sunday",2,0.65,22.94,1025,10170,26,0,0,0,56.5,0.650243497
"326","1/19/2015","Quarter3","1","Monday",2,0.7,22.94,1006,10170,38,0,0,0,56.5,0.750517565
"345","1/20/2015","Quarter3","1","Tuesday",2,0.7,22.94,1363,10260,50,0,0,0,57,0.750031898
"359","1/21/2015","Quarter3","1","Wednesday",2,0.7,22.94,1422,10500,60,0,0,0,57,0.800415742
"375","1/22/2015","Quarter4","1","Thursday",2,0.7,22.94,1510,10620,60,0,0,0,57,0.800302791
"397","1/24/2015","Quarter4","1","Saturday",2,0.75,22.94,1606,10260,94,0,0,0,57,0.90064806
"424","1/25/2015","Quarter4","1","Sunday",2,0.75,22.94,1636,10530,81,0,0,0,58.5,0.850223776
"447","1/26/2015","Quarter4","1","Monday",2,0.75,22.94,1764,10260,55,0,0,0,57,0.800034024
"457","1/27/2015","Quarter4","1","Tuesday",2,0.75,22.52,1635,6840,119,0,0,0,57,1.000230409
"478","1/28/2015","Quarter4","1","Wednesday",2,0.8,22.52,1559,6840,90,0,0,0,57,1.000230409
"499","1/29/2015","Quarter5","1","Thursday",2,0.8,22.52,1416,6840,113,0,0,0,57,1.000230409
"520","1/31/2015","Quarter5","1","Saturday",2,0.8,22.52,1397,6840,113,0,0,0,57,1.000230409
"544","2/1/2015","Quarter1","1","Sunday",2,0.8,22.52,1396,6900,113,0,0,0,57.5,1.000671304
"564","2/2/2015","Quarter1","1","Monday",2,0.8,22.52,21385,7020,88,0,0,0,58.5,0.900158405
"587","2/3/2015","Quarter1","1","Tuesday",2,0.8,22.52,1452,6960,100,0,0,0,58,0.949981609
"600","2/4/2015","Quarter1","1","Wednesday",2,0.8,22.52,1263,6900,100,0,0,0,57.5,1.05028058
"619","2/5/2015","Quarter1","1","Thursday",2,0.8,22.52,1300,6780,113,0,0,0,56.5,1.000446018
"638","2/7/2015","Quarter1","1","Saturday",2,0.8,22.52,1186,6900,113,0,0,0,58,1.000018551
"656","2/8/2015","Quarter2","1","Sunday",2,0.8,22.52,1233,6900,113,0,0,0,57.5,1.000018551
"679","2/9/2015","Quarter2","1","Monday",2,0.8,22.52,1413,360,70,0,0,0,57,0.900477825
"698","2/10/2015","Quarter2","1","Tuesday",2,0.8,22.52,1512,0,88,0,0,0,57,0.899984058
"714","2/11/2015","Quarter2","1","Wednesday",2,0.8,22.52,1557,0,90,0,0,0,57.5,1.000344928
"733","2/12/2015","Quarter2","1","Thursday",2,0.8,22.52,1327,0,113,0,0,0,57.5,1.000344928
"755","2/14/2015","Quarter2","1","Saturday",2,0.8,22.52,674,3660,63,0,0,0,57,0.80037492
"783","2/15/2015","Quarter3","1","Sunday",2,0.8,22.52,12,6900,0,0,0,0,57.5,0.432122899
"822","2/17/2015","Quarter3","1","Tuesday",2,0.5,30.33,838,6720,0,0,0,1,56,0.361071429
"841","2/18/2015","Quarter3","1","Wednesday",2,0.6,30.33,868,6840,0,0,0,1,57,0.328131579
"863","2/19/2015","Quarter3","1","Thursday",2,0.65,30.33,841,6840,0,0,0,1,57,0.585315789
"876","2/22/2015","Quarter4","1","Sunday",2,0.7,30.33,746,6840,0,0,0,1,57,0.700605263
"895","2/23/2015","Quarter4","1","Monday",2,0.7,30.33,577,2160,30,0,0,1,58,0.700623
"916","2/24/2015","Quarter4","1","Tuesday",2,0.7,30.33,408,1680,30,0,0,1,59,0.700623
"935","2/25/2015","Quarter4","1","Wednesday",2,0.7,30.33,361,3960,30,0,0,1,58,0.700069811
"955","2/26/2015","Quarter4","1","Thursday",2,0.7,30.33,398,6960,0,0,0,1,58,0.66237931
"976","2/28/2015","Quarter4","1","Saturday",2,0.7,30.33,512,4560,0,0,0,1,58,0.700211111
"996","3/1/2015","Quarter1","1","Sunday",2,0.7,30.33,254,1800,0,0,0,0,58,0.683550607
"1047","3/3/2015","Quarter1","1","Tuesday",2,0.4,15.28,157,5400,0,6.5,30,1,45,0.30277037
"1067","3/4/2015","Quarter1","1","Wednesday",2,0.5,15.28,261,5520,0,0,0,1,46,0.404144928
"1084","3/5/2015","Quarter1","1","Thursday",2,0.6,15.28,529,1320,0,0,0,1,46,0.600099145
"1102","3/7/2015","Quarter1","1","Saturday",2,0.65,16.1,626,4200,0,0,0,1,45,0.65024031
"1122","3/8/2015","Quarter2","1","Sunday",2,0.7,16.1,928,4800,30,0,0,1,45,0.700106061
"1142","3/9/2015","Quarter2","1","Monday",2,0.7,16.1,817,5520,30,0,0,1,45,0.700516224
"1168","3/10/2015","Quarter2","1","Tuesday",2,0.7,16.1,957,5400,40,0,0,1,45,0.700051852
"1186","3/11/2015","Quarter2","1","Wednesday",2,0.75,16.1,971,5400,45,0,0,1,45,0.750140741
