"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"8","1/1/2015","Quarter1","1","Thursday",3,0.75,28.08,795,6900,45,0,0,0,57.5,0.753683478
"26","1/3/2015","Quarter1","1","Saturday",3,0.8,28.08,913,6540,50,0,0,0,54.5,0.800322936
"56","1/4/2015","Quarter1","1","Sunday",3,0.75,19.87,734,6600,45,0,0,0,55,0.75024303
"80","1/5/2015","Quarter1","1","Monday",3,0.75,19.87,944,6600,45,0,0,0,55,0.75024303
"95","1/6/2015","Quarter1","1","Tuesday",3,0.8,19.87,963,9900,50,0,0,0,55,0.800273829
"118","1/7/2015","Quarter1","1","Wednesday",3,0.8,19.87,924,9900,50,0,0,0,55,0.800273829
"138","1/8/2015","Quarter2","1","Thursday",3,0.8,19.87,857,9900,50,0,0,0,55,0.800273829
"165","1/10/2015","Quarter2","1","Saturday",3,0.75,19.87,1075,7080,45,0,0,0,56,0.750098351
"185","1/11/2015","Quarter2","1","Sunday",3,0.8,19.87,1043,6420,0,0,0,0,55,0.690182815
"205","1/12/2015","Quarter2","1","Monday",3,0.8,19.87,941,9900,0,0,0,0,55,0.800273829
"231","1/13/2015","Quarter2","1","Tuesday",3,0.8,42.27,465,9900,54,0,0,0,55,0.705576584
"273","1/15/2015","Quarter3","1","Thursday",3,0.5,22.52,1102,10170,30,0,0,0,56.5,0.660683293
"295","1/17/2015","Quarter3","1","Saturday",3,0.6,22.52,1140,10170,30,0,0,0,56.5,0.600291767
"311","1/18/2015","Quarter3","1","Sunday",3,0.65,22.52,1138,10170,35,0,0,0,56.5,0.650416734
"328","1/19/2015","Quarter3","1","Monday",3,0.7,22.52,1095,10170,50,0,0,0,56.5,0.750062751
"344","1/20/2015","Quarter3","1","Tuesday",3,0.7,22.52,1134,8460,50,0,0,0,57,0.750037968
"363","1/21/2015","Quarter3","1","Wednesday",3,0.7,22.52,1139,10260,63,0,0,0,57,0.750068049
"379","1/22/2015","Quarter4","1","Thursday",3,0.7,22.52,1244,10260,63,0,0,0,57,0.750068049
