"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"10","1/1/2015","Quarter1","1","Thursday",1,0.75,28.08,681,6900,45,0,0,0,57.5,0.750427826
"25","1/3/2015","Quarter1","1","Saturday",1,0.8,28.08,772,6300,50,0,0,0,56.5,0.800725314
"50","1/4/2015","Quarter1","1","Sunday",1,0.8,26.16,1033,7080,63,0,0,0,59,0.800318644
"71","1/5/2015","Quarter1","1","Monday",1,0.8,26.16,1138,7080,63,0,0,0,59,0.800318644
"89","1/6/2015","Quarter1","1","Tuesday",1,0.8,26.16,1187,10620,75,0,0,0,59,0.850502311
"107","1/7/2015","Quarter1","1","Wednesday",1,0.8,26.16,1179,10620,75,0,0,0,59,0.850502311
"131","1/8/2015","Quarter2","1","Thursday",1,0.8,26.16,1189,10620,75,0,0,0,59,0.850502311
"163","1/10/2015","Quarter2","1","Saturday",1,0.8,26.16,1335,10620,63,0,0,0,59,0.800117103
"176","1/11/2015","Quarter2","1","Sunday",1,0.8,26.16,1383,10620,75,0,0,0,59,0.850502311
"199","1/12/2015","Quarter2","1","Monday",1,0.8,26.16,1099,8220,75,0,0,0,59,0.850522167
"222","1/13/2015","Quarter2","1","Tuesday",1,0.8,26.16,1073,10620,75,0,0,0,59,0.850502311
"251","1/14/2015","Quarter2","1","Wednesday",1,0.8,26.16,1092,10620,63,0,0,0,59,0.800117103
"265","1/15/2015","Quarter3","1","Thursday",1,0.8,26.16,1160,10620,75,0,0,0,59,0.850502311
"288","1/17/2015","Quarter3","1","Saturday",1,0.8,48.68,171,10620,63,0,0,0,59,0.800117103
"317","1/18/2015","Quarter3","1","Sunday",1,0.8,49.1,1381,10350,24,0,0,0,57.5,0.403242161
"334","1/19/2015","Quarter3","1","Monday",1,0.5,22.94,1492,10170,30,0,0,0,56.5,0.549969429
"365","1/21/2015","Quarter3","1","Wednesday",1,0.65,22.94,1595,10260,34,0,0,0,57,0.700029771
"378","1/22/2015","Quarter4","1","Thursday",1,0.7,22.94,1384,12180,63,0,0,0,57,0.750162367
"403","1/24/2015","Quarter4","1","Saturday",1,0.7,22.94,1472,10260,75,0,0,0,57,0.800643806
"425","1/25/2015","Quarter4","1","Sunday",1,0.7,22.94,1682,10530,75,0,0,0,58.5,0.800909609
"448","1/26/2015","Quarter4","1","Monday",1,0.7,22.94,1745,10440,60,0,0,0,58,0.800023511
"468","1/27/2015","Quarter4","1","Tuesday",1,0.75,22.94,1871,6960,55,0,0,0,58,0.800263218
"484","1/28/2015","Quarter4","1","Wednesday",1,0.75,22.94,1868,6960,81,0,0,0,58,0.850362069
"509","1/29/2015","Quarter5","1","Thursday",1,0.75,22.94,1579,6960,81,0,0,0,58,0.850362069
"536","1/31/2015","Quarter5","1","Saturday",1,0.75,22.94,1502,6960,81,0,0,0,58,0.850362069
"545","2/1/2015","Quarter1","1","Sunday",1,0.8,22.94,1582,3060,113,0,0,0,58.5,1.000402055
"562","2/2/2015","Quarter1","1","Monday",1,0.8,22.94,16882,7020,113,0,0,0,58.5,1.000602279
"582","2/3/2015","Quarter1","1","Tuesday",1,0.8,22.52,1500,6900,113,0,0,0,57.5,1.000018551
"606","2/4/2015","Quarter1","1","Wednesday",1,0.8,22.52,1532,6900,88,0,0,0,57.5,0.900147246
"620","2/5/2015","Quarter1","1","Thursday",1,0.8,22.52,1485,6900,113,0,0,0,57.5,1.000018551
"640","2/7/2015","Quarter1","1","Saturday",1,0.8,22.52,1534,6780,88,0,0,0,57,0.900135693
"659","2/8/2015","Quarter2","1","Sunday",1,0.8,22.52,1615,6780,88,0,0,0,56.5,0.900135693
"678","2/9/2015","Quarter2","1","Monday",1,0.8,22.52,1506,3600,70,0,0,0,57,0.900509044
"696","2/10/2015","Quarter2","1","Tuesday",1,0.8,22.52,1546,0,88,0,0,0,57,0.90047076
"715","2/11/2015","Quarter2","1","Wednesday",1,0.8,22.52,1498,0,113,0,0,0,57,1.000065789
"731","2/12/2015","Quarter2","1","Thursday",1,0.8,22.52,1397,0,138,0,0,0,57,1.100483918
"750","2/14/2015","Quarter2","1","Saturday",1,0.8,22.52,1416,6840,113,0,0,0,57,1.000230409
"769","2/15/2015","Quarter3","1","Sunday",1,0.8,22.52,1420,6840,113,0,0,0,57,1.000230409
"786","2/16/2015","Quarter3","1","Monday",1,0.8,22.52,1422,6840,113,0,0,0,57,1.000230409
"804","2/17/2015","Quarter3","1","Tuesday",1,0.8,22.52,1445,6840,113,0,0,0,57,1.000230409
"831","2/18/2015","Quarter3","1","Wednesday",1,0.8,22.52,1374,3960,63,0,0,0,57,0.800279693
"847","2/19/2015","Quarter3","1","Thursday",1,0.8,22.52,265,3840,63,0,0,0,57,0.800470513
"922","2/24/2015","Quarter4","1","Tuesday",1,0.6,22.53,708,5040,0,0,0,1,42,0.268214286
"940","2/25/2015","Quarter4","1","Wednesday",1,0.65,22.53,762,5040,0,0,0,1,42,0.581130952
"962","2/26/2015","Quarter4","1","Thursday",1,0.35,26.66,1164,6600,23,0,0,2,55,0.378895152
"980","2/28/2015","Quarter4","1","Saturday",1,0.5,26.66,1448,6840,30,0,0,2,57,0.550349708
"995","3/1/2015","Quarter1","1","Sunday",1,0.6,26.66,1578,6840,38,0,0,0,57,0.700019883
"1009","3/2/2015","Quarter1","1","Monday",1,0.65,26.66,1527,6840,65,0,0,0,57,0.800579532
"1029","3/3/2015","Quarter1","1","Tuesday",1,0.7,26.66,1562,6960,60,0,0,0,58,0.800566092
"1059","3/4/2015","Quarter1","1","Wednesday",1,0.7,26.82,1772,6960,50,0,0,0,58,0.750651724
"1079","3/5/2015","Quarter1","1","Thursday",1,0.7,26.82,1373,6960,50,0,0,0,58,0.750651724
"1090","3/7/2015","Quarter1","1","Saturday",1,0.7,26.82,1267,8160,70,0,0,0,58,0.850045
"1115","3/8/2015","Quarter2","1","Sunday",1,0.75,26.82,1254,6960,65,0,0,0,58,0.85007069
"1133","3/9/2015","Quarter2","1","Monday",1,0.75,26.82,1322,7140,65,0,0,0,59,0.850426891
"1153","3/10/2015","Quarter2","1","Tuesday",1,0.75,26.82,1574,7080,75,0,0,0,59,0.900061017
