"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"12","1/1/2015","Quarter1","1","Thursday",10,0.75,19.31,578,6480,45,0,0,0,54,0.712205247
"33","1/3/2015","Quarter1","1","Saturday",10,0.75,19.31,610,6480,56,0,0,0,54,0.787299691
"57","1/4/2015","Quarter1","1","Sunday",10,0.7,28.08,1202,6900,40,0,0,0,57.5,0.699965217
"79","1/5/2015","Quarter1","1","Monday",10,0.75,28.08,1083,7020,45,0,0,0,58.5,0.7504
"100","1/6/2015","Quarter1","1","Tuesday",10,0.75,28.08,1209,10530,45,0,0,0,58.5,0.750545455
"121","1/7/2015","Quarter1","1","Wednesday",10,0.75,28.08,1144,10530,69,0,0,0,58.5,0.8
"141","1/8/2015","Quarter2","1","Thursday",10,0.75,28.08,1066,10530,69,0,0,0,58.5,0.8
"164","1/10/2015","Quarter2","1","Saturday",10,0.8,28.08,1082,10530,63,0,0,0,58.5,0.8
"184","1/11/2015","Quarter2","1","Sunday",10,0.8,28.08,762,10530,38,0,0,0,58.5,0.8
"210","1/12/2015","Quarter2","1","Monday",10,0.8,50.48,381,6930,45,0,0,0,58.5,0.688557555
"238","1/13/2015","Quarter2","1","Tuesday",10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649
"255","1/14/2015","Quarter2","1","Wednesday",10,0.5,22.4,947,3390,23,0,0,0,56.5,0.499980334
"276","1/15/2015","Quarter3","1","Thursday",10,0.6,22.52,1076,10170,23,0,0,0,56.5,0.600291767
"294","1/17/2015","Quarter3","1","Saturday",10,0.65,22.52,1163,9720,35,0,0,0,54,0.650198653
"308","1/18/2015","Quarter3","1","Sunday",10,0.7,22.52,1002,10080,40,0,0,0,56,0.700094156
"329","1/19/2015","Quarter3","1","Monday",10,0.7,22.52,938,10080,63,0,0,0,56,0.750057359
"343","1/20/2015","Quarter3","1","Tuesday",10,0.7,22.52,1108,10080,63,0,0,0,56,0.750057359
"360","1/21/2015","Quarter3","1","Wednesday",10,0.7,22.52,1206,10080,75,0,0,0,56,0.800020563
"377","1/22/2015","Quarter4","1","Thursday",10,0.75,22.52,1328,10080,55,0,0,0,56,0.800020563
