"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"6","1/1/2015","Quarter1","1","Thursday",7,0.8,25.9,984,6720,38,0,0,0,56,0.800125
"32","1/3/2015","Quarter1","1","Saturday",7,0.8,25.9,1138,6720,38,0,0,0,56,0.800125
"47","1/4/2015","Quarter1","1","Sunday",7,0.8,25.9,1227,7020,60,0,0,0,56.5,0.850436438
"69","1/5/2015","Quarter1","1","Monday",7,0.8,25.9,1255,6780,50,0,0,0,56.5,0.800684366
"97","1/6/2015","Quarter1","1","Tuesday",7,0.8,25.9,1035,10170,38,0,0,0,56.5,0.800128721
"120","1/7/2015","Quarter1","1","Wednesday",7,0.8,25.9,1066,10170,50,0,0,0,56.5,0.800128721
"133","1/8/2015","Quarter2","1","Thursday",7,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
"154","1/10/2015","Quarter2","1","Saturday",7,0.8,25.9,970,10170,60,0,0,0,56.5,0.850136766
"177","1/11/2015","Quarter2","1","Sunday",7,0.8,25.9,1012,10170,45,0,0,0,56.5,0.850136766
"201","1/12/2015","Quarter2","1","Monday",7,0.8,25.9,1031,10170,60,0,0,0,56.5,0.850136766
"225","1/13/2015","Quarter2","1","Tuesday",7,0.8,25.9,1126,10170,60,0,0,0,56.5,0.850136766
"241","1/14/2015","Quarter2","1","Wednesday",7,0.8,25.9,1150,10170,70,0,0,0,56.5,0.900144811
"267","1/15/2015","Quarter3","1","Thursday",7,0.8,25.9,1281,10170,60,0,0,0,56.5,0.850136766
"286","1/17/2015","Quarter3","1","Saturday",7,0.8,25.9,1396,10170,50,0,0,0,56.5,0.800128721
"304","1/18/2015","Quarter3","1","Sunday",7,0.8,48.84,624,10170,50,0,0,0,56.5,0.800128721
"333","1/19/2015","Quarter3","1","Monday",7,0.8,48.84,1040,10260,30,0,0,0,57,0.576460393
"351","1/20/2015","Quarter3","1","Tuesday",7,0.35,22.94,1450,10080,30,0,0,0,56,0.400332792
"370","1/21/2015","Quarter3","1","Wednesday",7,0.5,22.52,1720,10080,23,0,0,0,56,0.500241342
"388","1/22/2015","Quarter4","1","Thursday",7,0.6,22.52,1859,10260,23,0,0,0,57,0.60041361
"411","1/24/2015","Quarter4","1","Saturday",7,0.65,22.52,1295,10170,26,0,0,0,56.5,0.650416734
"430","1/25/2015","Quarter4","1","Sunday",7,0.7,22.52,360,10170,40,0,0,0,56.5,0.7005417
"497","1/28/2015","Quarter4","1","Wednesday",7,0.6,23.54,958,6600,0,0,0,0,55,0.285333333
"518","1/29/2015","Quarter5","1","Thursday",7,0.65,23.54,830,6600,0,0,0,0,55,0.48792
"541","1/31/2015","Quarter5","1","Saturday",7,0.7,23.54,1109,6720,0,0,0,0,56,0.388830357
"560","2/1/2015","Quarter1","1","Sunday",7,0.7,24.26,1400,6720,0,0,0,0,56,0.411553571
"578","2/2/2015","Quarter1","1","Monday",7,0.7,24.26,2698,6720,0,0,0,0,56,0.295307738
"596","2/3/2015","Quarter1","1","Tuesday",7,0.7,24.26,1639,6720,0,0,0,0,56,0.541517857
"612","2/4/2015","Quarter1","1","Wednesday",7,0.7,24.26,1471,6960,0,0,0,0,58,0.700612069
"634","2/5/2015","Quarter1","1","Thursday",7,0.07,24.26,1608,6960,0,0,0,0,58,0.522844828
"651","2/7/2015","Quarter1","1","Saturday",7,0.7,24.26,658,6960,0,270,45,0,58,0.662270115
"673","2/8/2015","Quarter2","1","Sunday",7,0.7,24.26,148,6960,0,0,0,0,58,0.355534483
"690","2/9/2015","Quarter2","1","Monday",7,0.35,30.1,842,6960,0,0,0,1,58,0.350301724
"710","2/10/2015","Quarter2","1","Tuesday",7,0.5,30.1,1025,6960,23,0,0,1,58,0.500801724
"727","2/11/2015","Quarter2","1","Wednesday",7,0.6,30.1,829,3360,23,0,0,1,58,0.600070513
"744","2/12/2015","Quarter2","1","Thursday",7,0.65,30.1,909,7080,0,0,0,1,59,0.535677966
"761","2/14/2015","Quarter2","1","Saturday",7,0.7,30.1,957,7200,0,0,0,1,60,0.602
"775","2/15/2015","Quarter3","1","Sunday",7,0.7,30.1,881,7080,0,0,0,1,59,0.700632768
"797","2/16/2015","Quarter3","1","Monday",7,0.7,30.1,784,600,30,0,0,1,59,0.700459889
"813","2/17/2015","Quarter3","1","Tuesday",7,0.7,30.1,562,840,30,0,0,1,59,0.700888203
"833","2/18/2015","Quarter3","1","Wednesday",7,0.75,30.1,553,2280,45,0,0,1,59,0.75053268
"861","2/19/2015","Quarter3","1","Thursday",7,0.75,30.1,444,0,0,5,20,1,59,0.611140537
"881","2/22/2015","Quarter4","1","Sunday",7,0.75,30.1,627,6960,0,3.5,20,1,58,0.393548851
"892","2/23/2015","Quarter4","1","Monday",7,0.75,30.1,709,6960,45,0,0,1,58,0.750770115
"910","2/24/2015","Quarter4","1","Tuesday",7,0.75,30.1,739,5640,45,0,0,1,59,0.750727326
"930","2/25/2015","Quarter4","1","Wednesday",7,0.8,30.1,786,7080,50,0,0,2,59,0.800115819
"946","2/26/2015","Quarter4","1","Thursday",7,0.8,30.1,694,4080,50,0,0,1,59,0.800808642
"969","2/28/2015","Quarter4","1","Saturday",7,0.8,30.1,644,840,38,0,0,1,59,0.799982853
"1002","3/1/2015","Quarter1","1","Sunday",7,0.8,30.1,934,6960,0,3.5,15,0,58,0.579511494
"1014","3/2/2015","Quarter1","1","Monday",7,0.8,30.1,616,7080,0,0,0,0,59,0.800115819
"1032","3/3/2015","Quarter1","1","Tuesday",7,0.8,30.1,29,7080,50,0,0,0,59,0.800115819
"1057","3/4/2015","Quarter1","1","Wednesday",7,0.8,30.1,874,3960,50,0,0,0,59,0.800055762
"1086","3/5/2015","Quarter1","1","Thursday",7,0.8,30.1,834,1200,0,4,40,0,59,0.366053523
"1148","3/9/2015","Quarter2","1","Monday",7,0.5,30.48,1161,6600,0,0,0,1,55,0.500610909
"1170","3/10/2015","Quarter2","1","Tuesday",7,0.6,30.48,1017,6840,25,0,0,1,57,0.630402924
"1192","3/11/2015","Quarter2","1","Wednesday",7,0.65,30.48,935,6840,26,0,0,1,57,0.650596491
