"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"4","1/1/2015","Quarter1","1","Thursday",12,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
"28","1/3/2015","Quarter1","1","Saturday",12,0.8,26.16,844,7080,63,0,0,0,59,0.800318644
"52","1/4/2015","Quarter1","1","Sunday",12,0.8,11.61,1216,6975,50,0,0,0,31,0.800030199
"74","1/5/2015","Quarter1","1","Monday",12,0.8,11.61,1037,7200,50,0,0,0,32,0.800246011
"96","1/6/2015","Quarter1","1","Tuesday",12,0.8,11.61,1101,5310,50,0,0,0,31.5,0.800140969
"119","1/7/2015","Quarter1","1","Wednesday",12,0.8,11.61,1120,5670,50,0,0,0,31.5,0.800246753
"139","1/8/2015","Quarter2","1","Thursday",12,0.8,11.61,548,15120,63,0,0,0,31.5,0.800107143
"161","1/10/2015","Quarter2","1","Saturday",12,0.8,11.61,893,4710,50,0,0,0,31.5,0.800346445
"182","1/11/2015","Quarter2","1","Sunday",12,0.8,11.61,896,5670,50,0,0,0,31.5,0.800246753
"207","1/12/2015","Quarter2","1","Monday",12,0.8,11.61,760,4470,50,0,0,0,31.5,0.80007657
"229","1/13/2015","Quarter2","1","Tuesday",12,0.8,11.61,1063,5670,50,0,0,0,31.5,0.800246753
"249","1/14/2015","Quarter2","1","Wednesday",12,0.8,11.61,1159,2970,50,0,0,0,31.5,0.800313433
"270","1/15/2015","Quarter3","1","Thursday",12,0.8,11.61,1216,4950,50,0,0,0,31.5,0.80003139
"285","1/17/2015","Quarter3","1","Saturday",12,0.8,11.61,1039,5670,63,0,0,0,31.5,0.800246753
"310","1/18/2015","Quarter3","1","Sunday",12,0.8,26.87,585,5670,56,0,0,0,31.5,0.662255892
"337","1/19/2015","Quarter3","1","Monday",12,0.35,15.26,1111,6120,23,0,0,0,34,0.35021836
"350","1/20/2015","Quarter3","1","Tuesday",12,0.5,15.26,1352,3720,23,0,0,0,34,0.500290419
"366","1/21/2015","Quarter3","1","Wednesday",12,0.6,15.26,1245,6360,23,0,0,0,34,0.60017284
"387","1/22/2015","Quarter4","1","Thursday",12,0.6,15.26,1492,6960,23,0,0,0,34,0.600436426
"407","1/24/2015","Quarter4","1","Saturday",12,0.75,15.26,1316,6120,40,0,0,0,34,0.750079323
"431","1/25/2015","Quarter4","1","Sunday",12,0.7,15.26,1296,6120,40,0,0,0,34,0.70043672
"453","1/26/2015","Quarter4","1","Monday",12,0.7,15.26,1337,6120,40,0,0,0,34,0.70043672
"472","1/27/2015","Quarter4","1","Tuesday",12,0.7,15.26,1462,4080,40,0,0,0,34,0.700164706
"490","1/28/2015","Quarter4","1","Wednesday",12,0.75,15.26,1429,3600,45,0,0,0,35,0.750283333
"513","1/29/2015","Quarter5","1","Thursday",12,0.75,15.26,1436,4200,45,0,0,0,35,0.750646667
"537","1/31/2015","Quarter5","1","Saturday",12,0.75,15.26,1209,4200,45,0,0,0,35,0.750646667
"555","2/1/2015","Quarter1","1","Sunday",12,0.75,15.26,1276,1440,45,0,0,0,35,0.750450658
"569","2/2/2015","Quarter1","1","Monday",12,0.8,15.26,12261,3600,63,0,0,0,35,0.800401961
"590","2/3/2015","Quarter1","1","Tuesday",12,0.8,15.26,1029,2040,50,0,0,0,35,0.800259023
"607","2/4/2015","Quarter1","1","Wednesday",12,0.8,15.26,1094,4080,38,0,0,0,34,0.800401961
"628","2/5/2015","Quarter1","1","Thursday",12,0.8,15.26,1083,720,38,0,0,0,34,0.800612676
"645","2/7/2015","Quarter1","1","Saturday",12,0.8,15.26,1021,4080,63,0,0,0,34,0.800401961
"665","2/8/2015","Quarter2","1","Sunday",12,0.8,15.26,1026,2880,63,0,0,0,34,0.800355208
