"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"5","1/1/2015","Quarter1","1","Thursday",6,0.8,25.9,1170,1920,50,0,0,0,56,0.800381944
"31","1/3/2015","Quarter1","1","Saturday",6,0.8,25.9,1152,6720,50,0,0,0,56,0.800125
"44","1/4/2015","Quarter1","1","Sunday",6,0.8,11.61,539,6975,50,0,0,0,31,0.879714482
"73","1/5/2015","Quarter1","1","Monday",6,0.8,11.61,712,7200,50,0,0,0,32,0.800246011
"99","1/6/2015","Quarter1","1","Tuesday",6,0.8,11.61,910,4470,38,0,0,0,31.5,0.80007657
"117","1/7/2015","Quarter1","1","Wednesday",6,0.8,11.41,986,5490,50,0,0,0,30.5,0.800343766
"140","1/8/2015","Quarter2","1","Thursday",6,0.8,11.41,411,14640,50,0,0,0,30.5,0.800024932
"162","1/10/2015","Quarter2","1","Saturday",6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
"181","1/11/2015","Quarter2","1","Sunday",6,0.8,11.41,887,5490,50,0,0,0,30.5,0.800343766
"206","1/12/2015","Quarter2","1","Monday",6,0.8,11.41,843,5670,50,0,0,0,31.5,0.800181818
"228","1/13/2015","Quarter2","1","Tuesday",6,0.8,11.61,1004,5670,50,0,0,0,31.5,0.800246753
"250","1/14/2015","Quarter2","1","Wednesday",6,0.8,11.61,972,5670,38,0,0,0,31.5,0.800246753
"269","1/15/2015","Quarter3","1","Thursday",6,0.8,11.61,1084,4950,38,0,0,0,31.5,0.80003139
"284","1/17/2015","Quarter3","1","Saturday",6,0.8,11.41,1067,5490,63,0,0,0,30.5,0.800343766
"303","1/18/2015","Quarter3","1","Sunday",6,0.8,11.41,1140,5490,63,0,0,0,30.5,0.800343766
"322","1/19/2015","Quarter3","1","Monday",6,0.8,11.41,1028,4380,50,0,0,0,31,0.800358775
"339","1/20/2015","Quarter3","1","Tuesday",6,0.8,11.41,1047,5580,63,0,0,0,31,0.800261486
"356","1/21/2015","Quarter3","1","Wednesday",6,0.8,11.61,916,5760,75,0,0,0,89,0.850410511
"376","1/22/2015","Quarter4","1","Thursday",6,0.8,11.61,955,6360,63,0,0,0,32,0.800191989
"405","1/24/2015","Quarter4","1","Saturday",6,0.8,11.61,1009,5640,63,0,0,0,32,0.800537143
"427","1/25/2015","Quarter4","1","Sunday",6,0.8,11.61,1181,5760,63,0,0,0,32,0.800386364
"445","1/26/2015","Quarter4","1","Monday",6,0.8,11.61,1072,5760,50,0,0,0,32,0.800386364
"474","1/27/2015","Quarter4","1","Tuesday",6,0.8,30.4,338,3840,34,0,0,0,32,0.622828125
"495","1/28/2015","Quarter4","1","Wednesday",6,0.35,18.79,511,1800,23,0,0,0,32,0.437995338
"516","1/29/2015","Quarter5","1","Thursday",6,0.5,18.79,717,3960,23,0,0,0,33,0.500117677
"540","1/31/2015","Quarter5","1","Saturday",6,0.6,18.79,799,3960,23,0,0,0,33,0.600710606
"558","2/1/2015","Quarter1","1","Sunday",6,0.65,18.79,881,3960,26,0,0,0,33,0.651007071
"574","2/2/2015","Quarter1","1","Monday",6,0.7,18.79,2984,3960,30,0,0,0,33,0.700354545
"594","2/3/2015","Quarter1","1","Tuesday",6,0.7,18.79,913,4020,30,0,0,0,33.5,0.700184577
"611","2/4/2015","Quarter1","1","Wednesday",6,0.7,18.79,941,3360,30,0,0,0,33,0.700710417
"632","2/5/2015","Quarter1","1","Thursday",6,0.7,18.79,766,2760,30,0,0,0,33,0.700079032
"648","2/7/2015","Quarter1","1","Saturday",6,0.75,18.79,813,1560,34,0,0,0,33,0.750520115
"667","2/8/2015","Quarter2","1","Sunday",6,0.75,18.79,670,3960,34,0,0,0,33,0.75065101
"689","2/9/2015","Quarter2","1","Monday",6,0.75,18.79,708,4080,0,0,0,0,34,0.612517157
"703","2/10/2015","Quarter2","1","Tuesday",6,0.75,18.79,640,2400,0,0,0,0,34,0.750797009
"720","2/11/2015","Quarter2","1","Wednesday",6,0.8,18.79,656,3480,38,0,0,0,34,0.800947475
"738","2/12/2015","Quarter2","1","Thursday",6,0.8,18.79,779,3960,0,0,0,0,33,0.688017677
"763","2/14/2015","Quarter2","1","Saturday",6,0.8,18.79,822,4080,0,0,0,0,34,0.557252451
"777","2/15/2015","Quarter3","1","Sunday",6,0.75,18.79,814,4080,0,0,0,0,34,0.681598039
"794","2/16/2015","Quarter3","1","Monday",6,0.75,18.79,895,3960,0,0,0,0,33,0.75065101
"810","2/17/2015","Quarter3","1","Tuesday",6,0.75,18.79,726,3360,0,0,0,0,33,0.750621354
"832","2/18/2015","Quarter3","1","Wednesday",6,0.75,18.79,759,3960,34,0,0,0,33,0.75065101
"851","2/19/2015","Quarter3","1","Thursday",6,0.75,18.79,899,3960,56,0,0,0,33,0.75065101
"873","2/22/2015","Quarter4","1","Sunday",6,0.75,18.79,1055,3960,45,0,0,0,33,0.75065101
"893","2/23/2015","Quarter4","1","Monday",6,0.75,18.79,1100,3960,45,0,0,0,33,0.75065101
"911","2/24/2015","Quarter4","1","Tuesday",6,0.75,18.79,913,3360,45,0,0,0,33,0.75065101
"931","2/25/2015","Quarter4","1","Wednesday",6,0.75,18.79,1003,3960,45,0,0,1,33,0.75065101
"950","2/26/2015","Quarter4","1","Thursday",6,0.75,18.79,912,3960,45,0,0,0,33,0.75065101
"972","2/28/2015","Quarter4","1","Saturday",6,0.75,18.79,1012,3960,45,0,0,0,33,0.75065101
"990","3/1/2015","Quarter1","1","Sunday",6,0.75,18.79,1193,3960,45,0,0,0,33,0.75065101
"1016","3/2/2015","Quarter1","1","Monday",6,0.75,18.79,947,2880,34,0,0,0,33,0.750797009
"1036","3/3/2015","Quarter1","1","Tuesday",6,0.75,20.2,402,3120,45,0,0,0,33,0.750212553
"1068","3/4/2015","Quarter1","1","Wednesday",6,0.75,18.79,52,3960,0,0,0,0,33,0.332146465
"1087","3/5/2015","Quarter1","1","Thursday",6,0.35,22.53,1450,2640,0,0,0,1,39,0.26369382
"1105","3/7/2015","Quarter1","1","Saturday",6,0.5,23.41,1379,2280,0,0,0,1,39,0.500528095
"1123","3/8/2015","Quarter2","1","Sunday",6,0.6,23.41,1266,2520,23,0,0,1,38,0.601037091
"1145","3/9/2015","Quarter2","1","Monday",6,0.65,23.41,1262,4560,35,0,0,1,38,0.650962281
"1167","3/10/2015","Quarter2","1","Tuesday",6,0.7,23.41,1180,4560,30,0,0,1,38,0.700246491
"1191","3/11/2015","Quarter2","1","Wednesday",6,0.7,23.41,1128,4560,40,0,0,1,38,0.700246491
