"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"15","1/1/2015","Quarter1","2","Thursday",8,0.75,2.9,NA,960,0,0,0,0,8,0.676666667
"39","1/3/2015","Quarter1","2","Saturday",8,0.8,2.9,NA,960,0,0,0,0,8,0.628333333
"58","1/4/2015","Quarter1","2","Sunday",8,0.8,2.9,NA,960,0,0,0,0,8,0.682708333
"82","1/5/2015","Quarter1","2","Monday",8,0.8,2.9,NA,960,0,0,0,0,8,0.664583333
"102","1/6/2015","Quarter1","2","Tuesday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.681060606
"123","1/7/2015","Quarter1","2","Wednesday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.681060606
"143","1/8/2015","Quarter2","2","Thursday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.735984848
"168","1/10/2015","Quarter2","2","Saturday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.628882576
"187","1/11/2015","Quarter2","2","Sunday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.653598485
"209","1/12/2015","Quarter2","2","Monday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.725
"232","1/13/2015","Quarter2","2","Tuesday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.681060606
"253","1/14/2015","Quarter2","2","Wednesday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.667329545
"275","1/15/2015","Quarter3","2","Thursday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.606912879
"292","1/17/2015","Quarter3","2","Saturday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.675568182
"314","1/18/2015","Quarter3","2","Sunday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.639867424
"331","1/19/2015","Quarter3","2","Monday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.683806818
"349","1/20/2015","Quarter3","2","Tuesday",8,0.8,2.9,NA,1440,0,0,0,0,8,0.639867424
"367","1/21/2015","Quarter3","2","Wednesday",8,0.8,2.9,NA,2400,0,0,0,0,8,0.594871795
"392","1/22/2015","Quarter4","2","Thursday",8,0.8,2.9,NA,4800,0,0,0,0,8,0.397743056
"396","1/24/2015","Quarter4","2","Saturday",8,0.8,2.9,NA,1620,0,0,0,0,9,0.910521886
"437","1/25/2015","Quarter4","2","Sunday",8,0.8,2.9,NA,720,0,0,0,0,4,0.329545455
"465","1/27/2015","Quarter4","2","Tuesday",8,0.65,3.94,NA,960,0,0,0,0,8,0.845458333
"492","1/28/2015","Quarter4","2","Wednesday",8,0.65,4.15,NA,960,0,0,0,0,8,0.553333333
"505","1/29/2015","Quarter5","2","Thursday",8,0.65,4.15,NA,960,0,0,0,0,8,0.877552083
"530","1/31/2015","Quarter5","2","Saturday",8,0.65,3.94,NA,960,0,0,0,0,8,0.971866667
"543","2/1/2015","Quarter1","2","Sunday",8,0.65,4.15,NA,960,0,0,0,0,8,1.0115625
"575","2/2/2015","Quarter1","2","Monday",8,0.65,4.15,NA,960,0,0,0,0,8,0.561979167
"585","2/3/2015","Quarter1","2","Tuesday",8,0.7,4.15,NA,960,0,0,0,0,8,0.976979167
