"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"2","1/1/2015","Quarter1","2","Thursday",1,0.75,3.94,NA,960,0,0,0,0,8,0.8865
"24","1/3/2015","Quarter1","2","Saturday",1,0.8,3.94,NA,960,0,0,0,0,8,0.902916667
"43","1/4/2015","Quarter1","2","Sunday",1,0.8,3.94,NA,960,0,0,0,0,8,0.915229167
"62","1/5/2015","Quarter1","2","Monday",1,0.8,3.94,NA,1920,0,0,0,0,8,0.961059028
"85","1/6/2015","Quarter1","2","Tuesday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.936496212
"105","1/7/2015","Quarter1","2","Wednesday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.951420455
"127","1/8/2015","Quarter2","2","Thursday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.947689394
"149","1/10/2015","Quarter2","2","Saturday",1,0.8,3.94,NA,2160,0,0,0,0,8,0.985
"174","1/11/2015","Quarter2","2","Sunday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.873068182
"194","1/12/2015","Quarter2","2","Monday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.955151515
"218","1/13/2015","Quarter2","2","Tuesday",1,0.8,3.94,NA,1440,0,0,0,0,2,0.951420455
"242","1/14/2015","Quarter2","2","Wednesday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.891723485
"262","1/15/2015","Quarter3","2","Thursday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.884261364
"282","1/17/2015","Quarter3","2","Saturday",1,0.8,3.94,NA,1440,0,0,0,0,8,0.884261364
"369","1/21/2015","Quarter3","2","Wednesday",1,0.65,3.94,NA,2400,0,0,0,0,8,0.505128205
"384","1/22/2015","Quarter4","2","Thursday",1,0.7,3.94,NA,15000,0,0,0,0,25,0.649662222
"414","1/24/2015","Quarter4","2","Saturday",1,0.7,3.94,NA,1440,0,0,0,0,8,0.578314394
"419","1/25/2015","Quarter4","2","Sunday",1,0.7,3.94,NA,1440,0,0,0,0,8,0.970075758
"443","1/26/2015","Quarter4","2","Monday",1,0.7,3.94,NA,1800,0,0,0,0,10,0.910378788
"470","1/27/2015","Quarter4","2","Tuesday",1,0.75,3.94,NA,1200,0,0,0,0,10,0.77815
"481","1/28/2015","Quarter4","2","Wednesday",1,0.75,3.94,NA,1200,0,0,0,0,10,0.9456
"508","1/29/2015","Quarter5","2","Thursday",1,0.75,3.94,NA,1200,0,0,0,0,10,0.853666667
"525","1/31/2015","Quarter5","2","Saturday",1,0.75,3.94,NA,1800,0,0,0,0,15,0.971866667
"546","2/1/2015","Quarter1","2","Sunday",1,0.75,3.94,NA,2280,0,0,0,0,19,0.950438596
"576","2/2/2015","Quarter1","2","Monday",1,0.75,3.94,NA,2280,0,0,0,0,19,0.504596491
"584","2/3/2015","Quarter1","2","Tuesday",1,0.8,3.94,NA,1200,0,0,0,0,10,0.99485
