"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"124","1/7/2015","Quarter1","2","Wednesday",6,0.8,2.9,NA,1800,0,0,0,0,10,0.666515152
"190","1/11/2015","Quarter2","2","Sunday",6,0.8,2.9,NA,1440,0,0,0,0,8,0.597348485
"203","1/12/2015","Quarter2","2","Monday",6,0.8,2.9,NA,1440,0,0,0,0,8,0.817424242
"297","1/17/2015","Quarter3","2","Saturday",6,0.8,2.9,NA,900,0,0,0,0,5,0.465757576
"302","1/18/2015","Quarter3","2","Sunday",6,0.8,2.9,NA,1800,0,0,0,0,10,0.804848485
"386","1/22/2015","Quarter4","2","Thursday",6,0.8,2.9,NA,4800,0,0,0,0,8,0.626822917
"475","1/27/2015","Quarter4","2","Tuesday",6,0.8,2.9,NA,960,0,0,0,0,8,0.6225
"480","1/28/2015","Quarter4","2","Wednesday",6,0.35,2.9,NA,1800,0,0,0,0,15,0.977555556
"504","1/29/2015","Quarter5","2","Thursday",6,0.5,2.9,NA,1200,0,0,0,0,10,0.899
"532","1/31/2015","Quarter5","2","Saturday",6,0.6,3.94,NA,1200,0,0,0,0,10,0.971866667
"561","2/1/2015","Quarter1","2","Sunday",6,0.6,2.9,NA,1200,0,0,0,0,10,0.314166667
"579","2/2/2015","Quarter1","2","Monday",6,0.6,2.9,NA,1200,0,0,0,0,10,0.280333333
"598","2/3/2015","Quarter1","2","Tuesday",6,0.7,2.9,NA,960,0,0,0,0,8,0.495416667
