"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"14","1/1/2015","Quarter1","2","Thursday",10,0.65,3.94,NA,960,0,0,0,0,8,0.705916667
"36","1/3/2015","Quarter1","2","Saturday",10,0.7,4.15,NA,960,0,0,0,0,8,0.7018125
"54","1/4/2015","Quarter1","2","Sunday",10,0.7,3.94,NA,4320,0,0,0,0,18,0.759228395
"77","1/5/2015","Quarter1","2","Monday",10,0.75,2.9,NA,960,0,0,0,0,8,0.763375
"91","1/6/2015","Quarter1","2","Tuesday",10,0.75,3.94,NA,1440,0,0,0,0,8,0.809640152
"113","1/7/2015","Quarter1","2","Wednesday",10,0.75,3.94,NA,1440,0,0,0,0,8,0.805909091
"142","1/8/2015","Quarter2","2","Thursday",10,0.75,3.94,NA,1440,0,0,0,0,8,0.779791667
"156","1/10/2015","Quarter2","2","Saturday",10,0.8,3.94,NA,1440,0,0,0,0,8,0.846950758
"179","1/11/2015","Quarter2","2","Sunday",10,0.8,3.94,NA,1440,0,0,0,0,8,0.828295455
"216","1/12/2015","Quarter2","2","Monday",10,0.8,3.94,NA,1440,0,0,0,0,8,0.24625
"219","1/13/2015","Quarter2","2","Tuesday",10,0.8,3.94,NA,5400,0,0,0,0,20,0.912766667
"257","1/14/2015","Quarter2","2","Wednesday",10,0.8,3.94,NA,1260,0,0,0,0,8,0.332359307
"261","1/15/2015","Quarter3","2","Thursday",10,0.8,3.94,NA,3420,0,0,0,0,19,0.953110048
"281","1/17/2015","Quarter3","2","Saturday",10,0.8,3.94,NA,1440,0,0,0,0,8,0.974621212
"318","1/18/2015","Quarter3","2","Sunday",10,0.7,3.94,NA,1440,0,0,0,0,8,0.235795455
"335","1/19/2015","Quarter3","2","Monday",10,0.7,3.94,NA,1440,0,0,0,0,8,0.538399621
"373","1/22/2015","Quarter4","2","Thursday",10,0.75,3.94,NA,8400,0,0,0,0,14,0.940701058
"395","1/24/2015","Quarter4","2","Saturday",10,0.75,3.94,NA,1800,0,0,0,0,10,0.937242424
"421","1/25/2015","Quarter4","2","Sunday",10,0.75,3.94,NA,3420,0,0,0,0,19,0.955151515
"439","1/26/2015","Quarter4","2","Monday",10,0.75,3.94,NA,3780,0,0,0,0,21,0.997792208
"459","1/27/2015","Quarter4","2","Tuesday",10,0.8,3.94,NA,1440,0,0,0,0,12,0.979527778
"485","1/28/2015","Quarter4","2","Wednesday",10,0.8,3.94,NA,1200,0,0,0,0,10,0.840533333
"507","1/29/2015","Quarter5","2","Thursday",10,0.8,3.94,NA,1200,0,0,0,0,10,0.85695
"524","1/31/2015","Quarter5","2","Saturday",10,0.8,3.94,NA,1200,0,0,0,0,10,0.971866667
"550","2/1/2015","Quarter1","2","Sunday",10,0.8,3.94,NA,1200,0,0,0,0,10,0.8865
"567","2/2/2015","Quarter1","2","Monday",10,0.8,3.94,NA,1200,0,0,0,0,10,0.85695
