"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"23","1/3/2015","Quarter1","2","Saturday",3,0.75,3.94,NA,1560,0,0,0,0,8,0.945277778
"41","1/4/2015","Quarter1","2","Sunday",3,0.75,4.15,NA,1560,0,0,0,0,8,0.991388889
"65","1/5/2015","Quarter1","2","Monday",3,0.75,4.15,NA,1920,0,0,0,0,8,0.875390625
"86","1/6/2015","Quarter1","2","Tuesday",3,0.75,4.15,NA,1800,0,0,0,0,10,0.899166667
"110","1/7/2015","Quarter1","2","Wednesday",3,0.75,4.15,NA,2700,0,0,0,0,15,0.83
"144","1/8/2015","Quarter2","2","Thursday",3,0.75,4.15,NA,2160,0,0,0,0,12,0.712626263
"150","1/10/2015","Quarter2","2","Saturday",3,0.75,4.15,NA,2760,0,0,0,0,12,0.930340376
"171","1/11/2015","Quarter2","2","Sunday",3,0.75,4.15,NA,1440,0,0,0,0,8,0.93532197
"196","1/12/2015","Quarter2","2","Monday",3,0.8,4.15,NA,1800,0,0,0,0,10,0.905454545
"220","1/13/2015","Quarter2","2","Tuesday",3,0.8,4.15,NA,1620,0,0,0,0,9,0.901262626
"248","1/14/2015","Quarter2","2","Wednesday",3,0.8,4.15,NA,1440,0,0,0,0,7,0.820833333
"391","1/22/2015","Quarter4","2","Thursday",3,0.7,3.94,NA,12000,0,0,0,0,20,0.460578704
"400","1/24/2015","Quarter4","2","Saturday",3,0.75,3.94,NA,1440,0,0,0,0,8,0.895454545
"420","1/25/2015","Quarter4","2","Sunday",3,0.75,3.94,NA,1620,0,0,0,0,9,0.961784512
"438","1/26/2015","Quarter4","2","Monday",3,0.75,3.94,NA,1800,0,0,0,0,10,1.059621212
"463","1/27/2015","Quarter4","2","Tuesday",3,0.75,3.94,NA,1440,0,0,0,0,12,0.861875
"517","1/29/2015","Quarter5","2","Thursday",3,0.8,3.94,NA,960,0,0,0,0,8,0.4925
"522","1/31/2015","Quarter5","2","Saturday",3,0.8,3.94,NA,960,0,0,0,0,8,0.971866667
