"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"78","1/5/2015","Quarter1","2","Monday",5,0.6,2.9,NA,960,0,0,0,0,8,0.759270833
"126","1/7/2015","Quarter1","2","Wednesday",5,0.7,4.15,NA,1440,0,0,0,0,8,0.330113636
"136","1/8/2015","Quarter2","2","Thursday",5,0.7,4.15,NA,3840,0,0,0,0,8,0.821354167
"170","1/10/2015","Quarter2","2","Saturday",5,0.5,4.15,NA,1440,0,0,0,0,8,0.337973485
"188","1/11/2015","Quarter2","2","Sunday",5,0.5,4.15,NA,1440,0,0,0,0,8,0.609138258
"204","1/12/2015","Quarter2","2","Monday",5,0.65,4.15,NA,1440,0,0,0,0,8,0.809564394
"226","1/13/2015","Quarter2","2","Tuesday",5,0.65,4.15,NA,1440,0,0,0,0,8,0.821354167
"243","1/14/2015","Quarter2","2","Wednesday",5,0.65,4.15,NA,1440,0,0,0,0,15,0.864583333
"263","1/15/2015","Quarter3","2","Thursday",5,0.65,4.15,NA,1440,0,0,0,0,8,0.860653409
"279","1/17/2015","Quarter3","2","Saturday",5,0.65,4.15,NA,2700,0,0,0,0,15,0.98719697
"300","1/18/2015","Quarter3","2","Sunday",5,0.6,4.15,NA,1440,0,0,0,0,8,0.852793561
"321","1/19/2015","Quarter3","2","Monday",5,0.65,4.15,NA,1440,0,0,0,0,8,0.958901515
"338","1/20/2015","Quarter3","2","Tuesday",5,0.7,4.15,NA,1440,0,0,0,0,8,1.033570076
"361","1/21/2015","Quarter3","2","Wednesday",5,0.7,4.15,NA,2400,0,0,0,0,8,0.758173077
"380","1/22/2015","Quarter4","2","Thursday",5,0.7,4.15,NA,9000,0,0,0,0,15,0.742901235
"394","1/24/2015","Quarter4","2","Saturday",5,0.7,4.15,NA,2700,0,0,0,0,15,0.966666667
"417","1/25/2015","Quarter4","2","Sunday",5,0.7,4.15,NA,3060,0,0,0,0,17,0.973796791
"441","1/26/2015","Quarter4","2","Monday",5,0.7,4.15,NA,2700,0,0,0,0,15,0.959191919
"461","1/27/2015","Quarter4","2","Tuesday",5,0.5,4.15,NA,1440,0,0,0,0,12,0.926388889
"528","1/31/2015","Quarter5","2","Saturday",5,0.7,3.94,NA,240,0,0,0,0,2,0.971866667
