"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"17","1/1/2015","Quarter1","2","Thursday",7,0.8,2.9,NA,960,0,0,0,0,8,0.540729167
"40","1/3/2015","Quarter1","2","Saturday",7,0.8,3.94,NA,960,0,0,0,0,8,0.6253125
"59","1/4/2015","Quarter1","2","Sunday",7,0.8,2.9,NA,960,0,0,0,0,8,0.667604167
"81","1/5/2015","Quarter1","2","Monday",7,0.8,3.94,NA,960,0,0,0,0,8,0.676666667
"104","1/6/2015","Quarter1","2","Tuesday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.61625
"114","1/7/2015","Quarter1","2","Wednesday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.804640152
"145","1/8/2015","Quarter2","2","Thursday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.681060606
"167","1/10/2015","Quarter2","2","Saturday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.670075758
"191","1/11/2015","Quarter2","2","Sunday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.590435606
"213","1/12/2015","Quarter2","2","Monday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.648106061
"233","1/13/2015","Quarter2","2","Tuesday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.670075758
"247","1/14/2015","Quarter2","2","Wednesday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.837594697
"272","1/15/2015","Quarter3","2","Thursday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.689299242
"293","1/17/2015","Quarter3","2","Saturday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.661837121
"309","1/18/2015","Quarter3","2","Sunday",7,0.8,2.9,NA,1440,0,0,0,0,8,0.692045455
"372","1/22/2015","Quarter4","2","Thursday",7,0.6,3.94,NA,6000,0,0,0,0,10,0.957638889
"401","1/24/2015","Quarter4","2","Saturday",7,0.65,3.94,NA,2160,0,0,0,0,12,0.870580808
"429","1/25/2015","Quarter4","2","Sunday",7,0.65,3.94,NA,2520,0,0,0,0,14,0.749188312
"454","1/26/2015","Quarter4","2","Monday",7,0.65,3.94,NA,1440,0,0,0,0,8,0.646306818
"467","1/27/2015","Quarter4","2","Tuesday",7,0.5,4.15,NA,960,0,0,0,0,8,0.803541667
"496","1/28/2015","Quarter4","2","Wednesday",7,0.6,3.94,NA,960,0,0,0,0,8,0.406354167
"529","1/31/2015","Quarter5","2","Saturday",7,0.7,3.94,NA,1200,0,0,0,0,10,0.971866667
"549","2/1/2015","Quarter1","2","Sunday",7,0.7,3.94,NA,2160,0,0,0,0,18,0.892194444
