"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"7","1/1/2015","Quarter1","2","Thursday",2,0.75,3.94,NA,960,0,0,0,0,8,0.755166667
"34","1/3/2015","Quarter1","2","Saturday",2,0.8,4.15,NA,960,0,0,0,0,8,0.782447917
"53","1/4/2015","Quarter1","2","Sunday",2,0.8,3.94,NA,960,0,0,0,0,8,0.792104167
"68","1/5/2015","Quarter1","2","Monday",2,0.8,3.94,NA,960,0,0,0,0,8,0.804416667
"92","1/6/2015","Quarter1","2","Tuesday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.805909091
"112","1/7/2015","Quarter1","2","Wednesday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.813371212
"135","1/8/2015","Quarter2","2","Thursday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.835757576
"158","1/10/2015","Quarter2","2","Saturday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.817102273
"180","1/11/2015","Quarter2","2","Sunday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.820833333
"197","1/12/2015","Quarter2","2","Monday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.880530303
"227","1/13/2015","Quarter2","2","Tuesday",2,0.8,3.94,NA,1440,0,0,0,0,8,0.805909091
"259","1/14/2015","Quarter2","2","Wednesday",2,0.8,3.94,NA,1260,0,0,0,0,8,0.247316017
"280","1/17/2015","Quarter3","2","Saturday",2,0.8,3.94,NA,1800,0,0,0,0,10,0.980909091
"354","1/21/2015","Quarter3","2","Wednesday",2,0.7,3.94,NA,5100,0,0,0,0,17,0.912202112
"385","1/22/2015","Quarter4","2","Thursday",2,0.7,3.94,NA,15000,0,0,0,0,25,0.649662222
"413","1/24/2015","Quarter4","2","Saturday",2,0.75,3.94,NA,1440,0,0,0,0,8,0.578314394
"418","1/25/2015","Quarter4","2","Sunday",2,0.75,3.94,NA,1440,0,0,0,0,8,0.970075758
"442","1/26/2015","Quarter4","2","Monday",2,0.75,3.94,NA,1800,0,0,0,0,10,0.910378788
"469","1/27/2015","Quarter4","2","Tuesday",2,0.75,3.94,NA,1200,0,0,0,0,10,0.788
"482","1/28/2015","Quarter4","2","Wednesday",2,0.8,3.94,NA,1800,0,0,0,0,15,0.902222222
"512","1/29/2015","Quarter5","2","Thursday",2,0.8,3.94,NA,1200,0,0,0,0,10,0.773333333
"521","1/31/2015","Quarter5","2","Saturday",2,0.8,3.94,NA,1200,0,0,0,0,10,0.971866667
"548","2/1/2015","Quarter1","2","Sunday",2,0.8,3.94,NA,1200,0,0,0,0,10,0.912766667
"581","2/3/2015","Quarter1","2","Tuesday",2,0.8,3.94,NA,2400,0,0,0,0,20,1.001416667
